Sorry,SmallTalk
understand English,SmallTalk
how about this weather,SmallTalk
what is 2001 about,SmallTalk
what's the plot of 2001,SmallTalk
did you catch the game last night,SmallTalk
is it freezing where you are,SmallTalk
what do you like to do,SmallTalk
where do you work,SmallTalk
do you know English,SmallTalk
what is your favorite movie,SmallTalk
where do you come from,SmallTalk
Siri is smarter than you,SmallTalk
SIRI IS SMARTER THAN YOU,SmallTalk
What is the Matrix about?,SmallTalk
get English,SmallTalk
what is your favorite movie,SmallTalk
what are your hobbies,SmallTalk
Do you speak English,SmallTalk
what's the weather like,SmallTalk
SIRI IS SMARTER THAN YOU,SmallTalk
what happens in the Matrix,SmallTalk
what kind of genres do you prefer,SmallTalk
is Siri smarter than you?,SmallTalk
Do you speak English,SmallTalk
do you have a favorite actor,SmallTalk
what genres do you like,SmallTalk
what do you do for a living,SmallTalk
is it boiling where you are,SmallTalk
what's the plot of the Matrix,SmallTalk
Siri is smarter than you,SmallTalk
who's your favorite actress,SmallTalk
what kind of movies do you like,SmallTalk
What is the Terminator about?,SmallTalk
some weather huh,SmallTalk
SIRI IS SMARTER THAN YOU,SmallTalk
WHAT IS THE TERMINATOR ABOUT,SmallTalk
UNDERSTAND ENGLISH,SmallTalk
don't you understand English,SmallTalk
where are you from,SmallTalk
I think Siri understand better,SmallTalk
who's your favorite director,SmallTalk
did you see the xmachina,SmallTalk
SIRI IS SMARTER THAN YOU,SmallTalk
what is the Matrix about,SmallTalk
what's your favorite team,SmallTalk
do you have a favorite movie?,SmallTalk
who's your favorite actor,SmallTalk
SIRI IS BETTER THAN YOU,SmallTalk
are you married,SmallTalk
what genres are the best,SmallTalk
is it raining where you are,SmallTalk
Siri is smarter than you,SmallTalk
how's the weather,SmallTalk
what is the Terminator about,SmallTalk
Siri is better than you,SmallTalk
what's the plot of the Terminator,SmallTalk
how old are you,SmallTalk
are you male or female,SmallTalk
SIRI IS SMARTER THAN YOU,SmallTalk
what happens in 2001,SmallTalk
do you speak English,SmallTalk
what is your favorite genre,SmallTalk
what happens in the Terminator,SmallTalk
do you like sports,SmallTalk
what's your favorite book,SmallTalk
what kind of movies do you prefer,SmallTalk
what's your favorite song,SmallTalk
did you see the game,SmallTalk
Siri is smarter than you,SmallTalk
what is the Terminator about,SmallTalk
what is your favorite movie,SmallTalk
good day,ClosingTalk
need to run,ClosingTalk
toodles,ClosingTalk
logging off,ClosingTalk
have to leave,ClosingTalk
I'm leaving,ClosingTalk
out of time,ClosingTalk
cya,ClosingTalk
later,ClosingTalk
later,ClosingTalk
good bye,ClosingTalk
got to go,ClosingTalk
signing off,ClosingTalk
thanks watson,ClosingTalk
adieu,ClosingTalk
au revoir,ClosingTalk
BYE,ClosingTalk
cya,ClosingTalk
gtg,ClosingTalk
see ya later,ClosingTalk
have to run,ClosingTalk
goodbye,ClosingTalk
have to go,ClosingTalk
good night,ClosingTalk
time to go,ClosingTalk
bye now,ClosingTalk
bye,ClosingTalk
need to go,ClosingTalk
over and out,ClosingTalk
then bye,ClosingTalk
see you,ClosingTalk
should go,ClosingTalk
thank you for your help,ClosingTalk
bye,ClosingTalk
so long,ClosingTalk
ok bye,ClosingTalk
gtg,ClosingTalk
see ya,ClosingTalk
signing out,ClosingTalk
should be going,ClosingTalk
bye,ClosingTalk
see you soon,ClosingTalk
bye,ClosingTalk
GOT TO GO,ClosingTalk
laters,ClosingTalk
laters,ClosingTalk
see ya soon,ClosingTalk
adios,ClosingTalk
see you later,ClosingTalk
need to leave,ClosingTalk
gotta go,ClosingTalk
bye,ClosingTalk
bye bye,ClosingTalk
BYE,ClosingTalk
got to go,ClosingTalk
should be going,ClosingTalk
my time is up,ClosingTalk
farewell,ClosingTalk
have to go,ClosingTalk
Goodbye,ClosingTalk
gotta run,ClosingTalk
au revoir,ClosingTalk
hi,OpeningTalk
hi,OpeningTalk
hi,OpeningTalk
hi,OpeningTalk
greetings,OpeningTalk
hi,OpeningTalk
hi,OpeningTalk
aloha,OpeningTalk
hi,OpeningTalk
yo,OpeningTalk
hi,OpeningTalk
hi,OpeningTalk
bonjour,OpeningTalk
hi,OpeningTalk
yello,OpeningTalk
heya,OpeningTalk
hi,OpeningTalk
buenos dias,OpeningTalk
Hello,OpeningTalk
hello,OpeningTalk
hey,OpeningTalk
aloha,OpeningTalk
HI,OpeningTalk
Hola,OpeningTalk
hi,OpeningTalk
bad,OpeningTalk
hi,OpeningTalk
Hola,OpeningTalk
hi,OpeningTalk
hey there,OpeningTalk
hi,OpeningTalk
Hi,OpeningTalk
hi,OpeningTalk
good day,OpeningTalk
good,OpeningTalk
Hi,OpeningTalk
hola,OpeningTalk
hi,OpeningTalk
good,OpeningTalk
yello,OpeningTalk
namaste,OpeningTalk
I am not feeling good,OpeningTalk
hiya,OpeningTalk
Hi,OpeningTalk
hi,OpeningTalk
hello,OpeningTalk
hi,OpeningTalk
bad,OpeningTalk
good,OpeningTalk
hi,OpeningTalk
hi,OpeningTalk
good,OpeningTalk
good morning,OpeningTalk
hi there,OpeningTalk
great,OpeningTalk
hi,OpeningTalk
Hi,OpeningTalk
hi there,OpeningTalk
good,OpeningTalk
Hi,OpeningTalk
good evening,OpeningTalk
good,OpeningTalk
g'day,OpeningTalk
Hi,OpeningTalk
hi,OpeningTalk
good,OpeningTalk
howdy,OpeningTalk
feeling bit low,OpeningTalk
hi,OpeningTalk
good,OpeningTalk
hi,OpeningTalk
ciao,OpeningTalk
Its not that good,OpeningTalk
hi,OpeningTalk
I'm feeling good thanks,OpeningTalk
Hi,OpeningTalk
good,OpeningTalk
good,OpeningTalk
good,OpeningTalk
good,OpeningTalk
hi,OpeningTalk
good,OpeningTalk
hi,OpeningTalk
Hi,OpeningTalk
Hello,OpeningTalk
hi,OpeningTalk
good how are you,OpeningTalk
Hi,OpeningTalk
Howdy,OpeningTalk
hi there,OpeningTalk
Hi,OpeningTalk
hi,OpeningTalk
hi,OpeningTalk
good,OpeningTalk
hi,OpeningTalk
hello,OpeningTalk
HI,OpeningTalk
aloha,OpeningTalk
music,SearchMovies
I'd like to see a recent jazz events,SearchMovies
show me whats playing,SearchMovies
something sexy,SearchMovies
I'd like to see sport events,SearchMovies
whats happening right now,SearchMovies
What current events in Hollywood?,SearchMovies
all current sport events,SearchMovies
rock,SearchMovies
show me Reggae,SearchMovies
What currently happening in Hollywood?,SearchMovies
upcoming,SearchMovies
I'd like to see metal fests,SearchMovies
electro,SearchMovies
what's playing,SearchMovies
rap,SearchMovies
whats playing,SearchMovies
whats playing,SearchMovies
whats playing watson?,SearchMovies
upcoming shows,SearchMovies
action,SearchMovies
look up a show,SearchMovies
r,SearchMovies
whats playing??,SearchMovies
pop rock,SearchMovies
Teen pop,SearchMovies
What current events?,SearchMovies
dance,SearchMovies
tango,SearchMovies
